gas_cost,volatility,reward_kind,inventory_phi,agent,mean_pnl,std_pnl,median_pnl,skew_pnl,kurt_pnl,profitable_frac,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,rebalances_per_ep,rebalance_rate_pct,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,attrib_hodl,attrib_fees,attrib_il,attrib_gas,risk_profile
2,0.03,inventory,80.0,ArrivalRebalance,-10.64,26.12,-6.95,-0.82,1.67,0.367,2.0,0.0,0.0,1.055,46.168,21.107,6.0,0.6,0.0,0.0,0.0,7.0,-1.05,34.97,32.55,12.0,phi=80
2,0.03,inventory,80.0,DeployNarrow,0.1,21.61,4.59,-0.99,1.41,0.639,2.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.61,12.69,11.99,0.0,phi=80
2,0.03,inventory,80.0,CDM,-3.34,20.25,0.0,-1.04,1.7,0.462,1.001,0.022,0.004,-8.544,96.949,150.837,0.05,0.0,-14.384,0.164,0.74,1.05,-0.0,8.65,11.9,0.1,phi=80
2,0.03,inventory,80.0,PPO,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,phi=80
2,0.03,inventory,80.0,PPO_narrow,-0.02,1.53,0.0,-12.99,323.42,0.009,2.0,0.0,0.0,-72.471,33.682,64.905,0.01,0.1,-9.304,1.5,2.97,0.03,0.01,0.11,0.13,0.02,phi=80
2,0.005,inventory,80.0,DeployWide,18.85,12.93,17.96,0.16,-0.74,0.938,30.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.11,20.64,1.68,0.0,phi=80
2,0.005,inventory,80.0,ArrivalRebalance,42.47,20.58,40.34,0.5,0.21,0.995,2.0,0.0,0.0,0.489,15.056,7.782,3.0,0.3,0.0,0.0,0.0,4.0,-0.17,52.46,3.82,6.0,phi=80
2,0.005,inventory,80.0,DeployNarrow,23.35,19.68,19.64,0.98,1.19,0.932,2.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,25.46,2.01,0.0,phi=80
2,0.005,inventory,80.0,CDM,28.21,8.05,28.46,-0.16,-0.28,1.0,29.903,1.624,0.053,0.15,11.561,5.87,3.02,0.3,-3.949,6.306,1.264,4.02,-0.12,37.28,2.92,6.04,phi=80
2,0.005,inventory,80.0,PPO,38.72,12.64,38.4,0.37,0.15,1.0,14.377,4.404,2.477,-5.18,14.573,5.479,4.13,41.26,-3.868,2.164,0.992,5.13,-0.03,50.94,3.94,8.25,phi=80
2,0.005,inventory,80.0,PPO_narrow,65.07,20.41,63.56,0.28,0.06,1.0,2.0,0.0,0.0,-1.284,14.106,4.978,6.72,67.2,-0.391,1.171,0.49,7.72,-0.08,84.76,6.17,13.44,phi=80
2,0.01,inventory,20.0,DeployWide,12.78,13.92,11.96,0.16,0.04,0.838,30.0,0.0,0.0,2.109,36.827,56.631,0.0,0.0,0.0,0.0,0.0,1.0,-0.22,16.69,3.68,0.0,phi=20
2,0.01,inventory,20.0,ArrivalRebalance,30.61,19.34,29.37,0.5,0.47,0.956,2.0,0.0,0.0,0.22,25.849,10.697,4.51,0.45,0.0,0.0,0.0,5.51,-0.41,48.96,8.92,9.02,phi=20
2,0.01,inventory,20.0,DeployNarrow,15.85,16.96,13.6,0.59,0.63,0.853,2.0,0.0,0.0,2.109,36.827,56.631,0.0,0.0,0.0,0.0,0.0,1.0,-0.2,20.1,4.04,0.0,phi=20
2,0.01,inventory,20.0,CDM,24.56,11.8,25.23,-0.39,0.31,0.973,29.914,1.53,0.046,0.101,13.449,4.307,7.58,0.76,-1.991,4.91,0.644,8.58,-0.23,50.6,10.67,15.15,phi=20
2,0.01,inventory,20.0,PPO,40.58,17.41,39.88,0.16,-0.07,0.994,5.482,4.27,2.042,-1.097,26.712,9.787,6.28,62.82,-0.944,3.323,1.535,7.28,-0.33,65.63,12.15,12.56,phi=20
2,0.01,inventory,20.0,PPO_narrow,49.07,20.6,47.69,0.17,-0.08,0.995,2.0,0.0,0.0,-0.164,26.575,9.797,7.59,75.86,-0.036,2.145,0.89,8.59,-0.4,78.43,13.79,15.17,phi=20
